id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
309,"Sakamoto hopes ___ his fitness level.",to maintain,maintaining,maintain,maintained,1,"不定詞。「hope to + 動詞原形」。"
310,"I ___ experienced such kindness before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
311,"The weather has been ___ mild lately.",unusually,unusual,unusualness,unusuals,1,"副詞。形容詞を修飾するので副詞形。"
312,"Lu has ___ mastered the new software.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」。"
313,"If the meeting ___ long, we'll be late.",runs,run,ran,running,1,"条件文。三人称単数なので「runs」。"
314,"Heisuke decided ___ volunteer work.",to do,doing,do,did,1,"不定詞。「decide to + 動詞原形」。"
315,"This is ___ restaurant in our area.",the most authentic,more authentic,authentic,most authentic,1,"最上級。「the most + 形容詞」。"
316,"Shin has ___ climbed such a high mountain.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
317,"The music is ___ quiet to hear clearly.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
318,"Aoi ___ been practicing piano daily.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
319,"Sakamoto seems ___ with his progress.",satisfied,satisfy,satisfying,satisfies,1,"形容詞。「seem」の後には形容詞。"
320,"If we ___ now, we'll arrive on time.",start,started,starting,starts,1,"条件文。「if + 現在形」。"
321,"Lu has ___ her research project.",completed,complete,completing,completes,1,"現在完了。動作の完了。"
322,"This puzzle is ___ complicated than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
323,"Heisuke wants ___ his technical knowledge.",to expand,expanding,expand,expanded,1,"不定詞。「want to + 動詞原形」。"
324,"The show has ___ ended for today.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
325,"Shin is ___ person I've ever met.",the most reliable,more reliable,reliable,most reliable,1,"最上級。「the most + 形容詞」。"
326,"If you ___ questions, please ask.",have,had,has,having,1,"条件文。「if + 現在形」。"
327,"Aoi has ___ adjusted to the new schedule.",gradually,gradual,gradually,graduals,1,"副詞。動詞を修飾するので副詞形。"
328,"This course is ___ intensive than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
329,"Sakamoto decided ___ his savings.",to increase,increasing,increase,increased,1,"不定詞。「decide to + 動詞原形」。"
330,"I ___ heard such beautiful music before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
331,"The presentation was ___ well-prepared.",exceptionally,exceptional,exception,exceptionally,1,"副詞。形容詞を修飾するので副詞形。"
332,"Lu has ___ finished her final exams.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
333,"If the weather ___ perfect, we'll go hiking.",is,was,will be,would be,1,"条件文。「if + 現在形」。"
334,"Heisuke hopes ___ his leadership skills.",to strengthen,strengthening,strengthen,strengthened,1,"不定詞。「hope to + 動詞原形」。"
335,"This is ___ beach I've ever seen.",the most pristine,more pristine,pristine,most pristine,1,"最上級。「the most + 形容詞」。"
336,"Shin has ___ tried such spicy food.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
337,"The room is ___ dark to read comfortably.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
338,"Aoi ___ been studying abroad for six months.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
339,"Sakamoto looks ___ after his haircut.",stylish,style,styling,styles,1,"形容詞。「look」の後には形容詞。"
340,"If they ___ help, we should assist them.",need,needed,needing,needs,1,"条件文。「if + 現在形」。"
341,"Lu has ___ her thesis successfully.",defended,defend,defending,defends,1,"現在完了。動作の完了。"
342,"This assignment is ___ demanding than usual.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
343,"Heisuke wants ___ his problem-solving skills.",to refine,refining,refine,refined,1,"不定詞。「want to + 動詞原形」。"
344,"The event has ___ concluded for tonight.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
345,"Shin is ___ teammate anyone could have.",the most supportive,more supportive,supportive,most supportive,1,"最上級。「the most + 形容詞」。"
346,"If you ___ the recipe, it will taste better.",follow,followed,following,follows,1,"条件文。「if + 現在形」。"
347,"Aoi has ___ overcome her initial nervousness.",completely,complete,completion,completes,1,"副詞。動詞を修飾するので副詞形。"
348,"This book is ___ informative than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
349,"Sakamoto hopes ___ his work-life balance.",to improve,improving,improve,improved,1,"不定詞。「hope to + 動詞原形」。"
350,"I ___ encountered such a difficult situation.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
351,"The design was ___ creative and innovative.",remarkably,remarkable,remark,remarkably,1,"副詞。形容詞を修飾するので副詞形。"
352,"Lu has ___ earned her professional certification.",recently,recent,recentness,recents,1,"副詞。現在完了とよく使われる。"
353,"If the plan ___ well, we'll celebrate.",works,work,worked,working,1,"条件文。三人称単数なので「works」。"
354,"Heisuke decided ___ his time more efficiently.",to manage,managing,manage,managed,1,"不定詞。「decide to + 動詞原形」。"
355,"This is ___ opportunity I've been given.",the most valuable,more valuable,valuable,most valuable,1,"最上級。「the most + 形容詞」。"
356,"Shin has ___ participated in team sports.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
357,"The explanation is ___ complex to understand.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
358,"Aoi ___ been volunteering at the hospital.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
359,"Sakamoto feels ___ about his achievements.",proud,pride,proudly,priding,1,"形容詞。「feel」の後には形容詞。"
360,"If we ___ together, we can finish faster.",work,worked,working,works,1,"条件文。「if + 現在形」。"
361,"Lu has ___ her master's degree program.",completed,complete,completing,completes,1,"現在完了。動作の完了。"
362,"This challenge is ___ difficult than anticipated.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
363,"Heisuke wants ___ his creative writing.",to pursue,pursuing,pursue,pursued,1,"不定詞。「want to + 動詞原形」。"
364,"The workshop has ___ started this morning.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
365,"Shin is ___ friend I could ask for.",the most loyal,more loyal,loyal,most loyal,1,"最上級。「the most + 形容詞」。"
366,"If you ___ patience, you'll succeed eventually.",have,had,has,having,1,"条件文。「if + 現在形」。"
367,"Aoi has ___ integrated into the new team.",smoothly,smooth,smoothness,smooths,1,"副詞。動詞を修飾するので副詞形。"
368,"This method is ___ effective than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
369,"Sakamoto decided ___ his daily routine.",to change,changing,change,changed,1,"不定詞。「decide to + 動詞原形」。"
370,"I ___ witnessed such dedication before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
371,"The atmosphere was ___ welcoming and warm.",incredibly,incredible,incredibility,incredibles,1,"副詞。形容詞を修飾するので副詞形。"
372,"Lu has ___ accomplished her goals.",finally,final,finalize,finals,1,"副詞。「finally」は「ついに」。"
373,"If the situation ___ urgent, call immediately.",becomes,become,became,becoming,1,"条件文。三人称単数なので「becomes」。"
374,"Heisuke hopes ___ his analytical skills.",to sharpen,sharpening,sharpen,sharpened,1,"不定詞。「hope to + 動詞原形」。"
375,"This is ___ achievement in his career.",the most significant,more significant,significant,most significant,1,"最上級。「the most + 形容詞」。"
376,"Shin has ___ attempted such a challenge.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
377,"The water is ___ shallow to dive safely.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
378,"Aoi ___ been coordinating the project.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
379,"Sakamoto appears ___ with the results.",pleased,please,pleasing,pleases,1,"形容詞。「appear」の後には形容詞。"
380,"If you ___ consistently, you'll improve.",practice,practiced,practicing,practices,1,"条件文。「if + 現在形」。"
381,"Lu has ___ her internship program.",finished,finish,finishing,finishes,1,"現在完了。動作の完了。"
382,"This project is ___ ambitious than expected.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
383,"Heisuke wants ___ his musical talents.",to showcase,showcasing,showcase,showcased,1,"不定詞。「want to + 動詞原形」。"
384,"The session has ___ concluded successfully.",already,yet,never,still,1,"現在完了。「already」は完了を表す。"
385,"Shin is ___ athlete in our division.",the most disciplined,more disciplined,disciplined,most disciplined,1,"最上級。「the most + 形容詞」。"
386,"If the weather ___ favorable, we'll proceed.",remains,remain,remained,remaining,1,"条件文。三人称単数なので「remains」。"
387,"Aoi has ___ mastered the new technology.",thoroughly,thorough,thoroughness,thoroughly,1,"副詞。動詞を修飾するので副詞形。"
388,"This solution is ___ practical than others.",more,most,much,very,1,"比較級。2音節以上は「more + 形容詞」。"
389,"Sakamoto hopes ___ his professional network.",to expand,expanding,expand,expanded,1,"不定詞。「hope to + 動詞原形」。"
390,"I ___ experienced such hospitality before.",have,has,had,was,1,"現在完了の経験。「I」には「have」。"
391,"The performance was ___ outstanding tonight.",truly,true,truth,truly,1,"副詞。形容詞を修飾するので副詞形。"
392,"Lu has ___ submitted her final report.",just,yet,never,still,1,"現在完了。「just」は「ちょうど～した」。"
393,"If the plan ___ successful, we'll expand it.",proves,prove,proved,proving,1,"条件文。三人称単数なので「proves」。"
394,"Heisuke decided ___ his public speaking.",to practice,practicing,practice,practiced,1,"不定詞。「decide to + 動詞原形」。"
395,"This is ___ experience of my lifetime.",the most memorable,more memorable,memorable,most memorable,1,"最上級。「the most + 形容詞」。"
396,"Shin has ___ competed at this level.",never,ever,already,yet,1,"現在完了の経験。否定の意味。"
397,"The text is ___ small to read easily.",too,very,so,quite,1,"「too + 形容詞 + to + 動詞原形」。"
398,"Aoi ___ been mentoring new employees.",has,have,had,was,1,"現在完了進行形。三人称単数なので「has」。"
399,"Sakamoto looks ___ after his promotion.",confident,confidence,confidently,confide,1,"形容詞。「look」の後には形容詞。"
400,"If we ___ focused, we'll achieve our goal.",stay,stayed,staying,stays,1,"条件文。「if + 現在形」。"
