id,question,choice1,choice2,choice3,choice4,correct_answer_index,explanation
611,"The secret organization ___ Sakamoto used to work for has been disbanded.",that,what,where,when,1,"関係代名詞that。坂本が以前働いていた秘密組織は解散されました。"
612,"If I ___ known about Sakamoto's identity earlier, I would have been more careful.",had,have,was,will,1,"仮定法過去完了。もし坂本の正体をもっと早く知っていたら、より注意深くしていたでしょう。"
613,"The weapon ___ in the convenience store turned out to be fake.",found,finding,to find,find,1,"過去分詞による後置修飾。コンビニで見つかった武器は偽物だとわかりました。"
614,"Sakamoto told me that he ___ retire completely and live a normal life.",wanted to,wants to,want to,wanting to,1,"不定詞（名詞的用法）。坂本は完全に引退して普通の生活を送りたいと私に言いました。"
615,"The customers ___ shop at Sakamoto's store don't know about his past.",who,which,where,when,1,"関係代名詞who。坂本の店で買い物をする客たちは彼の過去について知りません。"
616,"Having ___ his final mission, Sakamoto felt a great sense of relief.",completed,complete,completing,to complete,1,"完了分詞構文。最後の任務を完了して、坂本は大きな安堵感を感じました。"
617,"The letter ___ by an unknown sender contained important information about the organization.",written,writing,to write,write,1,"過去分詞による後置修飾。差出人不明の手紙には組織に関する重要な情報が書かれていました。"
618,"Shin mentioned that he ___ Sakamoto's fighting skills during their school days.",had admired,has admired,was admiring,will admire,1,"過去完了。シンは学生時代に坂本の戦闘技術を尊敬していたと述べました。"
619,"If the enemies ___ found Sakamoto's location, his family would be in danger.",had,have,were,will,1,"仮定法過去。もし敵が坂本の居場所を見つけていたら、彼の家族は危険にさらされるでしょう。"
620,"The photographs ___ in Sakamoto's old apartment revealed his previous life.",discovered,discovering,to discover,discover,1,"過去分詞による後置修飾。坂本の古いアパートで発見された写真は彼の以前の生活を明らかにしました。"
621,"Aoi said she ___ worried about her husband's mysterious behavior lately.",had been,has been,was being,will be,1,"過去完了進行形。葵は最近夫の謎めいた行動を心配していたと言いました。"
622,"The building ___ the organization used as headquarters has been demolished.",which,what,where,when,1,"関係代名詞which。組織が本部として使っていた建物は取り壊されました。"
623,"By working at the convenience store, Sakamoto ___ many valuable life skills.",has acquired,had acquired,was acquiring,will acquire,1,"現在完了（結果）。コンビニで働くことで、坂本は多くの貴重な人生スキルを身につけました。"
624,"The technique ___ by Master Nagumo requires years of practice to master.",taught,teaching,to teach,teach,1,"過去分詞による後置修飾。南雲師匠によって教えられた技術は習得するのに何年もの練習が必要です。"
625,"If Sakamoto ___ more careful, he wouldn't have revealed his identity accidentally.",had been,has been,was being,will be,1,"仮定法過去完了。もし坂本がもっと注意深くしていたら、うっかり正体を明かすことはなかったでしょう。"
626,"The training session ___ yesterday was more intense than usual.",held,holding,to hold,hold,1,"過去分詞による後置修飾。昨日開催された訓練セッションはいつもより激しいものでした。"
627,"Lu explained that she ___ martial arts since she was a child.",had practiced,has practiced,was practicing,will practice,1,"過去完了（継続）。ルーは子供の頃から武術を練習していたと説明しました。"
628,"The message ___ on Sakamoto's phone was from his former colleague.",received,receiving,to receive,receive,1,"過去分詞による後置修飾。坂本の電話に届いたメッセージは元同僚からのものでした。"
629,"Sakamoto regrets that he ___ his wife about his dangerous past sooner.",didn't tell,doesn't tell,hasn't told,won't tell,1,"過去形（後悔の表現）。坂本は妻に危険な過去についてもっと早く話さなかったことを後悔しています。"
630,"The plan ___ by the team was executed perfectly without any problems.",devised,devising,to devise,devise,1,"過去分詞による後置修飾。チームによって考案された計画は何の問題もなく完璧に実行されました。"
631,"Having ___ his identity secret for so long, Sakamoto found it difficult to be honest.",kept,keep,keeping,to keep,1,"完了分詞構文。長い間正体を秘密にしてきたので、坂本は正直になることが困難だと感じました。"
632,"The documents ___ in the safe contained evidence of the organization's crimes.",stored,storing,to store,store,1,"過去分詞による後置修飾。金庫に保管されていた文書には組織の犯罪の証拠が含まれていました。"
633,"If Shin ___ about Sakamoto's past, he would have acted differently.",had known,has known,was knowing,will know,1,"仮定法過去完了。もしシンが坂本の過去について知っていたら、違った行動をとっていたでしょう。"
634,"The customers ___ visit the store regularly have become like family to Sakamoto.",who,which,where,when,1,"関係代名詞who。定期的に店を訪れる客たちは坂本にとって家族のような存在になりました。"
635,"Aoi told me that she ___ suspicious about her husband's behavior for months.",had been,has been,was being,will be,1,"過去完了進行形。葵は何ヶ月も夫の行動を怪しく思っていたと私に言いました。"
636,"The weapon ___ behind the counter was just a toy replica.",hidden,hiding,to hide,hide,1,"過去分詞による後置修飾。カウンターの後ろに隠されていた武器はただのおもちゃのレプリカでした。"
637,"By the time Sakamoto decided to retire, he ___ completed over a hundred missions.",had,have,was,will,1,"過去完了。坂本が引退を決意した時には、彼は100以上の任務を完了していました。"
638,"The information ___ to the police helped them solve several cold cases.",provided,providing,to provide,provide,1,"過去分詞による後置修飾。警察に提供された情報は彼らがいくつかの未解決事件を解決するのに役立ちました。"
639,"Sakamoto wishes he ___ chosen a different career from the beginning.",had,has,was,will,1,"仮定法過去完了（wish）。坂本は最初から違う職業を選んでいればよかったと思っています。"
640,"The meeting ___ last week was about dismantling the remaining criminal networks.",held,holding,to hold,hold,1,"過去分詞による後置修飾。先週開催された会議は残りの犯罪ネットワークの解体についてでした。"
641,"Having ___ many dangerous situations, Sakamoto has become very cautious.",experienced,experience,experiencing,to experience,1,"完了分詞構文。多くの危険な状況を経験してきたので、坂本はとても慎重になりました。"
642,"The evidence ___ by investigators proved the organization's illegal activities.",collected,collecting,to collect,collect,1,"過去分詞による後置修飾。捜査官によって収集された証拠は組織の違法活動を証明しました。"
643,"If the authorities ___ acted sooner, many crimes could have been prevented.",had,have,were,will,1,"仮定法過去完了。もし当局がもっと早く行動していたら、多くの犯罪を防げたでしょう。"
644,"The skills ___ during his assassin days now help Sakamoto in his daily life.",learned,learning,to learn,learn,1,"過去分詞による後置修飾。殺し屋時代に学んだスキルは今、坂本の日常生活に役立っています。"
645,"Lu mentioned that she ___ homesick since moving to Japan.",had felt,has felt,was feeling,will feel,1,"現在完了（継続）。ルーは日本に来てからホームシックを感じていると言いました。"
646,"The strategy ___ by Nagumo was both brilliant and dangerous.",proposed,proposing,to propose,propose,1,"過去分詞による後置修飾。南雲によって提案された戦略は素晴らしくも危険でもありました。"
647,"Sakamoto realized that he ___ happiness in simple things like running a store.",could find,can find,will find,finds,1,"助動詞could（可能性）。坂本は店を経営するような単純なことに幸せを見つけられることに気づきました。"
648,"The neighborhood ___ Sakamoto moved to is known for its peaceful atmosphere.",where,which,what,when,1,"関係副詞where。坂本が引っ越した近所は平穏な雰囲気で知られています。"
649,"If the organization ___ still active, Sakamoto's retirement would be impossible.",were,was,is,will be,1,"仮定法過去。もし組織がまだ活動していたら、坂本の引退は不可能でしょう。"
650,"The decision ___ by Sakamoto to leave his old life has brought him true peace.",made,making,to make,make,1,"過去分詞による後置修飾。古い生活を捨てるという坂本の決断は彼に真の平和をもたらしました。"
651,"Read the following passage: 'Sakamoto opened his convenience store at 6 AM every morning. He enjoyed greeting his regular customers and helping them find what they needed. The store became a meeting place for the neighborhood.' What time does Sakamoto open his store?",5 AM,6 AM,7 AM,8 AM,2,"読解問題。文章中に「6 AM every morning」と明記されています。"
652,"According to the passage, Sakamoto's store became a ___ for the neighborhood.",shopping center,meeting place,training ground,hiding spot,2,"読解問題。文章の最後に「meeting place for the neighborhood」と記載されています。"
653,"Read this text: 'Lu practices martial arts every evening in the park. She has been training for five years and hopes to teach others someday.' How long has Lu been training?",three years,four years,five years,six years,3,"読解問題。「training for five years」と明記されています。"
654,"Based on the passage about Lu, what is her future goal?",to compete professionally,to teach others,to open a dojo,to travel abroad,2,"読解問題。「hopes to teach others someday」が彼女の目標です。"
655,"Read the following: 'Shin discovered Sakamoto's secret by accident. He was visiting the store late one evening when he saw Sakamoto demonstrate incredible fighting skills to stop a robbery.' How did Shin learn about Sakamoto?",Sakamoto told him,He read about it,By accident,Someone else told him,3,"読解問題。「by accident」と文章の冒頭に明記されています。"
656,"According to the text about Shin, when did he visit the store?",early morning,late evening,afternoon,midnight,2,"読解問題。「late one evening」と記載されています。"
657,"Read this passage: 'Aoi noticed that her husband had been acting strangely. He would wake up early, exercise intensely, and sometimes receive mysterious phone calls.' What did Aoi notice about Sakamoto?",He was sleeping more,He was acting strangely,He was working less,He was eating differently,2,"読解問題。「acting strangely」と文章の冒頭に記載されています。"
658,"Based on the passage, what would Sakamoto do in the early morning?",read newspapers,exercise intensely,cook breakfast,watch television,2,"読解問題。「wake up early, exercise intensely」と記載されています。"
659,"Read the following: 'The JAA organization was known for training elite assassins. Members underwent years of rigorous training and followed a strict code of conduct.' What was the JAA known for?",training doctors,training teachers,training assassins,training athletes,3,"読解問題。「training elite assassins」と明記されています。"
660,"According to the text, how long did JAA training take?",months,years,weeks,decades,2,"読解問題。「years of rigorous training」と記載されています。"
661,"Read this passage: 'Nagumo was considered the most skilled fighter in the organization. His techniques were legendary, and many younger assassins looked up to him as a mentor.' How was Nagumo regarded?",as a beginner,as the most skilled,as retired,as dangerous,2,"読解問題。「most skilled fighter」と明記されています。"
662,"Based on the text, what did younger assassins think of Nagumo?",They feared him,They avoided him,They looked up to him,They competed with him,3,"読解問題。「looked up to him as a mentor」と記載されています。"
663,"Read the following: 'The convenience store's security camera captured everything that happened during the robbery attempt. The footage showed Sakamoto's incredible reflexes and fighting ability.' What did the security camera capture?",a normal day,the robbery attempt,customers shopping,Sakamoto sleeping,2,"読解問題。「everything that happened during the robbery attempt」と記載されています。"
664,"According to the passage, what did the footage reveal about Sakamoto?",his kindness,his incredible reflexes,his business skills,his cooking ability,2,"読解問題。「incredible reflexes and fighting ability」と記載されています。"
665,"Read this text: 'After retiring from his dangerous career, Sakamoto found peace in simple daily activities. He enjoyed restocking shelves, talking to customers, and closing the store each evening.' What brought Sakamoto peace?",exciting adventures,simple daily activities,traveling abroad,meeting old friends,2,"読解問題。「found peace in simple daily activities」と明記されています。"
666,"Based on the passage, which activity did Sakamoto NOT enjoy?",restocking shelves,talking to customers,closing the store,fighting enemies,4,"読解問題。文中に「fighting enemies」は楽しい活動として記載されていません。"
667,"Read the following: 'The neighborhood children loved visiting Sakamoto's store. He always had a kind word for them and sometimes gave them free candy.' How did the children feel about the store?",They avoided it,They loved visiting it,They were scared of it,They ignored it,2,"読解問題。「loved visiting Sakamoto's store」と明記されています。"
668,"According to the text, what would Sakamoto sometimes give the children?",free toys,free candy,free books,free games,2,"読解問題。「sometimes gave them free candy」と記載されています。"
669,"Read this passage: 'Lu's apartment was decorated with photographs from her hometown in China. She often cooked traditional Chinese dishes and shared them with her Japanese neighbors.' What decorated Lu's apartment?",Japanese art,photographs from China,martial arts equipment,cooking utensils,2,"読解問題。「decorated with photographs from her hometown in China」と明記されています。"
670,"Based on the text, what did Lu share with her neighbors?",photographs,Chinese dishes,martial arts lessons,travel stories,2,"読解問題。「shared them with her Japanese neighbors」の「them」は「traditional Chinese dishes」を指します。"
671,"Read the following: 'The final mission was supposed to be simple: retrieve a document and return safely. However, Sakamoto realized it was a trap designed to eliminate him.' What was Sakamoto supposed to do?",fight enemies,retrieve a document,protect someone,destroy evidence,2,"読解問題。「retrieve a document and return safely」と明記されています。"
672,"According to the passage, what did Sakamoto realize about the mission?",It was easy,It was a trap,It was canceled,It was successful,2,"読解問題。「realized it was a trap」と記載されています。"
673,"Read this text: 'Shin's wife was worried when he started coming home late from work. She didn't know he was secretly helping Sakamoto with store inventory every evening.' Why was Shin's wife worried?",He was spending money,He was coming home late,He was changing jobs,He was acting strange,2,"読解問題。「worried when he started coming home late」と明記されています。"
674,"Based on the passage, what was Shin really doing?",working overtime,helping Sakamoto,attending classes,meeting friends,2,"読解問題。「secretly helping Sakamoto with store inventory」と記載されています。"
675,"Read the following: 'The government decided to offer amnesty to former assassins who provided information about criminal organizations. This gave Sakamoto hope for a truly peaceful future.' What did the government offer?",money,amnesty,jobs,protection,2,"読解問題。「offer amnesty to former assassins」と明記されています。"
676,"According to the text, how did this make Sakamoto feel?",worried,hopeful,angry,confused,2,"読解問題。「gave Sakamoto hope」と記載されています。"
677,"Read this passage: 'The convenience store's monthly sales increased by 30% after Sakamoto took over. Customers appreciated his friendly service and the store's clean, organized appearance.' How much did sales increase?",20%,30%,40%,50%,2,"読解問題。「increased by 30%」と明記されています。"
678,"Based on the text, why did customers appreciate the store?",low prices,friendly service,long hours,large selection,2,"読解問題。「appreciated his friendly service」と記載されています。"
679,"Read the following: 'Aoi decided to take cooking classes to surprise her husband with new dishes. She wanted to show her love and support for his new peaceful lifestyle.' Why did Aoi take cooking classes?",to get a job,to surprise Sakamoto,to meet friends,to lose weight,2,"読解問題。「to surprise her husband with new dishes」と明記されています。"
680,"According to the passage, what did Aoi want to show?",her cooking skills,her love and support,her independence,her creativity,2,"読解問題。「show her love and support」と記載されています。"
681,"Read this text: 'The police investigation revealed that the criminal organization had been disbanded for over a year. This news brought great relief to all former members who wanted to live normal lives.' How long had the organization been disbanded?",six months,over a year,two years,three years,2,"読解問題。「disbanded for over a year」と明記されています。"
682,"Based on the passage, how did former members feel about this news?",worried,relieved,angry,surprised,2,"読解問題。「brought great relief」と記載されています。"
683,"Read the following: 'Lu started teaching martial arts classes at the community center every Saturday morning. Her students ranged from young children to elderly adults, all eager to learn.' When does Lu teach classes?",weekday evenings,Saturday mornings,Sunday afternoons,Friday nights,2,"読解問題。「every Saturday morning」と明記されています。"
684,"According to the text, who are Lu's students?",only children,only adults,people of all ages,only teenagers,3,"読解問題。「ranged from young children to elderly adults」と記載されています。"
685,"Read this passage: 'Nagumo opened a legitimate security consulting business after leaving his former life. He used his expertise to help companies protect their employees and assets.' What kind of business did Nagumo open?",a restaurant,a security consulting business,a martial arts school,a convenience store,2,"読解問題。「security consulting business」と明記されています。"
686,"Based on the text, how does Nagumo use his expertise?",to train assassins,to help companies,to write books,to make movies,2,"読解問題。「help companies protect their employees and assets」と記載されています。"
687,"Read the following: 'The neighborhood festival was a huge success, with Sakamoto's store providing food and drinks for all the participants. The event brought the community closer together.' What did Sakamoto's store provide?",decorations,food and drinks,entertainment,security,2,"読解問題。「providing food and drinks」と明記されています。"
688,"According to the passage, what did the festival achieve?",raised money,brought community together,attracted tourists,created problems,2,"読解問題。「brought the community closer together」と記載されています。"
689,"Read this text: 'Shin decided to write a book about friendship and loyalty, inspired by his relationship with Sakamoto. He believed their story could inspire others to value true friendship.' What inspired Shin to write a book?",his job,his relationship with Sakamoto,his family,his hobbies,2,"読解問題。「inspired by his relationship with Sakamoto」と明記されています。"
690,"Based on the passage, what does Shin hope his book will do?",make money,inspire others,become famous,win awards,2,"読解問題。「inspire others to value true friendship」と記載されています。"
691,"Read the following: 'The store's renovation included new shelving, better lighting, and a comfortable seating area for customers. These improvements made shopping more enjoyable for everyone.' What was NOT mentioned as part of the renovation?",new shelving,better lighting,seating area,security cameras,4,"読解問題。「security cameras」は改装の一部として言及されていません。"
692,"According to the text, what did the improvements do?",increased sales,made shopping enjoyable,attracted thieves,caused problems,2,"読解問題。「made shopping more enjoyable」と記載されています。"
693,"Read this passage: 'Aoi started a small garden behind their house where she grew vegetables and herbs. Sakamoto enjoyed helping her water the plants and harvest the crops.' What did Aoi start?",a business,a small garden,a cooking class,a flower shop,2,"読解問題。「started a small garden」と明記されています。"
694,"Based on the text, how did Sakamoto help with the garden?",planning it,watering and harvesting,buying seeds,selling vegetables,2,"読解問題。「helping her water the plants and harvest the crops」と記載されています。"
695,"Read the following: 'The community center decided to honor Sakamoto with a special award for his contributions to neighborhood safety and his friendly service at the store.' Why was Sakamoto honored?",his cooking skills,his contributions to safety and service,his business success,his athletic ability,2,"読解問題。「contributions to neighborhood safety and his friendly service」と明記されています。"
696,"According to the passage, where was Sakamoto honored?",at his store,at the community center,at his home,at the police station,2,"読解問題。「The community center decided to honor Sakamoto」と記載されています。"
697,"Read this text: 'Lu's martial arts students organized a demonstration to show their families what they had learned. The event was held in the park and attracted many curious onlookers.' Where was the demonstration held?",at the community center,in the park,at the school,at Lu's home,2,"読解問題。「held in the park」と明記されています。"
698,"Based on the passage, who attended the demonstration?",only students,families and onlookers,only teachers,only children,2,"読解問題。「show their families」「attracted many curious onlookers」と記載されています。"
699,"Read the following: 'The local newspaper wrote a feature article about the positive changes in the neighborhood since Sakamoto opened his store. The reporter interviewed several residents who praised his impact on the community.' What did the newspaper write about?",crime rates,positive changes in the neighborhood,store prices,local politics,2,"読解問題。「positive changes in the neighborhood」と明記されています。"
700,"According to the text, what did the residents do in the interviews?",complained about problems,praised Sakamoto's impact,asked for changes,shared personal stories,2,"読解問題。「praised his impact on the community」と記載されています。"
701,"When you travel abroad, it's important to ___ your passport and important documents safe.",keep,kept,keeping,to keep,1,"実用英語。海外旅行時にはパスポートと重要書類を安全に保つことが大切です。"
702,"Excuse me, could you tell me ___ to get to the nearest train station?",what,how,where,when,2,"道案内の実用表現。最寄りの駅への行き方を尋ねる丁寧な表現です。"
703,"Before using any electronic device, you should always ___ the instruction manual carefully.",read,reading,to read,reads,1,"実用英語。電子機器を使用する前には必ず取扱説明書を注意深く読むべきです。"
704,"In case of an emergency, please ___ 119 immediately for help.",call,calling,to call,calls,1,"緊急時の実用表現。緊急時にはすぐに119番に電話して助けを求めてください。"
705,"When shopping online, it's wise to ___ the reviews before making a purchase.",check,checking,to check,checks,1,"実用英語。オンラインショッピングでは購入前にレビューをチェックするのが賢明です。"
706,"To maintain good health, doctors recommend ___ at least 30 minutes of exercise daily.",getting,get,to get,gets,1,"健康管理の実用表現。健康維持のため、医師は毎日少なくとも30分の運動を推奨しています。"
707,"If you want to improve your English, you should ___ practice speaking every day.",try to,try,trying,tries,1,"学習の実用表現。英語を上達させたいなら、毎日話す練習をするべきです。"
708,"When cooking with a microwave, always ___ that the food is heated evenly.",make sure,making sure,to make sure,makes sure,1,"実用英語。電子レンジで調理する際は、食べ物が均等に加熱されていることを確認してください。"
709,"For fire safety, you should never ___ candles unattended in your home.",leave,leaving,to leave,leaves,1,"安全に関する実用表現。火災の安全のため、家でろうそくを放置してはいけません。"
710,"To save money on electricity, try ___ energy-efficient appliances in your home.",using,use,to use,uses,1,"節約の実用表現。電気代を節約するため、省エネ家電の使用を試してみてください。"
711,"When meeting someone for the first time, it's polite to ___ your hand for a handshake.",extend,extending,to extend,extends,1,"社交の実用表現。初対面の人と会うときは、握手のために手を差し出すのが礼儀正しいです。"
712,"If you feel sick, you should ___ plenty of rest and drink lots of water.",get,getting,to get,gets,1,"健康管理の実用表現。体調が悪いときは十分な休息を取り、水分をたくさん摂るべきです。"
713,"Before crossing the street, always ___ both ways to ensure it's safe.",look,looking,to look,looks,1,"交通安全の実用表現。道路を渡る前は、安全を確認するために必ず両方向を見てください。"
714,"To protect your computer from viruses, you should ___ antivirus software regularly.",update,updating,to update,updates,1,"IT安全の実用表現。コンピューターをウイルスから守るため、ウイルス対策ソフトを定期的に更新すべきです。"
715,"When studying for exams, it helps to ___ a quiet place where you can concentrate.",find,finding,to find,finds,1,"学習の実用表現。試験勉強をするときは、集中できる静かな場所を見つけることが役立ちます。"
716,"In a restaurant, if you're not satisfied with your meal, you can politely ___ to speak with the manager.",ask,asking,to ask,asks,1,"顧客サービスの実用表現。レストランで料理に満足できない場合は、丁寧にマネージャーとの面談を求めることができます。"
717,"To reduce plastic waste, many people are now ___ reusable bags when they go shopping.",bringing,bring,to bring,brings,1,"環境保護の実用表現。プラスチック廃棄物を減らすため、多くの人が買い物時に再利用可能なバッグを持参しています。"
718,"When using public transportation, it's important to ___ your ticket or pass ready for inspection.",have,having,to have,has,1,"公共交通機関の実用表現。公共交通機関を利用する際は、検査のためにチケットやパスを準備しておくことが重要です。"
719,"If you're planning to move to a new apartment, you should ___ the lease agreement carefully.",read,reading,to read,reads,1,"住居の実用表現。新しいアパートに引っ越す予定なら、賃貸契約書を注意深く読むべきです。"
720,"To maintain good relationships with neighbors, try ___ considerate about noise levels, especially at night.",being,be,to be,is,1,"近隣関係の実用表現。隣人との良好な関係を維持するため、特に夜間は騒音レベルに配慮するよう心がけてください。"
721,"When applying for a job, it's essential to ___ a well-written resume and cover letter.",prepare,preparing,to prepare,prepares,1,"就職活動の実用表現。就職活動では、よく書かれた履歴書とカバーレターを準備することが不可欠です。"
722,"For better time management, try ___ your daily tasks in order of priority.",organizing,organize,to organize,organizes,1,"時間管理の実用表現。時間管理を向上させるため、日々のタスクを優先順位で整理することを試してみてください。"
723,"When learning a new language, it's helpful to ___ with native speakers as much as possible.",practice,practicing,to practice,practices,1,"語学学習の実用表現。新しい言語を学ぶときは、可能な限りネイティブスピーカーと練習することが役立ちます。"
724,"To save water at home, you can ___ shorter showers and fix any leaky faucets.",take,taking,to take,takes,1,"節水の実用表現。家庭で節水するため、シャワーを短くし、水漏れする蛇口を修理できます。"
725,"When giving a presentation, it's important to ___ eye contact with your audience.",maintain,maintaining,to maintain,maintains,1,"プレゼンテーションの実用表現。プレゼンテーションでは、聴衆とアイコンタクトを保つことが重要です。"
726,"If you want to eat healthier, try ___ more fruits and vegetables in your daily diet.",including,include,to include,includes,1,"健康的な食事の実用表現。より健康的に食べたいなら、日々の食事にもっと多くの果物と野菜を含めることを試してみてください。"
727,"When driving in bad weather, you should ___ extra careful and reduce your speed.",be,being,to be,is,1,"運転の実用表現。悪天候での運転時は、特に注意深く、速度を落とすべきです。"
728,"To improve your credit score, make sure to ___ your bills on time every month.",pay,paying,to pay,pays,1,"金融の実用表現。クレジットスコアを改善するため、毎月必ず請求書を期限内に支払ってください。"
729,"When hosting guests, it's thoughtful to ___ about any food allergies they might have.",ask,asking,to ask,asks,1,"おもてなしの実用表現。ゲストをもてなすときは、食物アレルギーについて尋ねることが思いやりです。"
730,"For home security, experts recommend ___ your doors and windows before going to bed.",checking,check,to check,checks,1,"防犯の実用表現。家庭のセキュリティのため、専門家は就寝前にドアと窓をチェックすることを推奨しています。"
731,"When working from home, it's beneficial to ___ a dedicated workspace to stay productive.",create,creating,to create,creates,1,"在宅勤務の実用表現。在宅勤務では、生産性を保つために専用のワークスペースを作ることが有益です。"
732,"To reduce stress, many people find it helpful to ___ deep breathing exercises or meditation.",practice,practicing,to practice,practices,1,"ストレス管理の実用表現。ストレスを減らすため、多くの人が深呼吸エクササイズや瞑想を実践することが役立つと感じています。"
733,"When buying a used car, it's wise to ___ it inspected by a qualified mechanic first.",have,having,to have,has,1,"中古車購入の実用表現。中古車を購入するときは、まず資格のある整備士に点検してもらうのが賢明です。"
734,"For effective communication, try ___ clear and simple language that everyone can understand.",using,use,to use,uses,1,"コミュニケーションの実用表現。効果的なコミュニケーションのため、誰もが理解できる明確で簡単な言葉を使うことを試してみてください。"
735,"When planning a budget, it's important to ___ track of all your income and expenses.",keep,keeping,to keep,keeps,1,"家計管理の実用表現。予算を計画するときは、すべての収入と支出を記録することが重要です。"
736,"To stay organized, consider ___ a planner or digital calendar to manage your schedule.",using,use,to use,uses,1,"整理整頓の実用表現。整理整頓を保つため、スケジュール管理にプランナーやデジタルカレンダーの使用を検討してください。"
737,"When traveling by plane, arrive at the airport at least two hours early to ___ delays.",avoid,avoiding,to avoid,avoids,1,"空港の実用表現。飛行機で旅行するときは、遅延を避けるため少なくとも2時間前に空港に到着してください。"
738,"For good dental health, dentists recommend ___ your teeth twice a day and flossing regularly.",brushing,brush,to brush,brushes,1,"口腔衛生の実用表現。良好な歯の健康のため、歯科医は1日2回の歯磨きと定期的なフロスを推奨しています。"
739,"When setting goals, make sure they are realistic and ___ within a reasonable time frame.",achievable,achieve,to achieve,achieves,1,"目標設定の実用表現。目標を設定するときは、現実的で合理的な時間枠内で達成可能であることを確認してください。"
740,"To build good habits, start ___ and gradually increase the difficulty over time.",small,smaller,smallest,more small,1,"習慣形成の実用表現。良い習慣を築くため、小さく始めて時間をかけて徐々に難易度を上げてください。"
741,"When using social media, be careful about ___ personal information with strangers.",sharing,share,to share,shares,1,"SNSの実用表現。ソーシャルメディアを使用するときは、見知らぬ人と個人情報を共有することに注意してください。"
742,"For energy conservation, try ___ lights and electronic devices when they're not in use.",turning off,turn off,to turn off,turns off,1,"省エネの実用表現。エネルギー保存のため、使用していないときは照明と電子機器を消すことを試してみてください。"
743,"When exercising, it's important to ___ properly to prevent injuries.",warm up,warming up,to warm up,warms up,1,"運動の実用表現。運動するときは、怪我を防ぐために適切にウォームアップすることが重要です。"
744,"To improve your sleep quality, avoid ___ caffeine or heavy meals close to bedtime.",consuming,consume,to consume,consumes,1,"睡眠の実用表現。睡眠の質を改善するため、就寝時間の近くでカフェインや重い食事を摂ることを避けてください。"
745,"When handling money, it's good practice to ___ your spending and save for the future.",monitor,monitoring,to monitor,monitors,1,"金銭管理の実用表現。お金を扱うときは、支出を監視し、将来のために貯蓄することが良い習慣です。"
746,"For environmental protection, consider ___ public transportation instead of driving alone.",taking,take,to take,takes,1,"環境保護の実用表現。環境保護のため、一人で運転する代わりに公共交通機関の利用を検討してください。"
747,"When learning new skills, don't be afraid to ___ mistakes - they're part of the learning process.",make,making,to make,makes,1,"学習の実用表現。新しいスキルを学ぶときは、間違いを恐れないでください。それは学習プロセスの一部です。"
748,"To maintain work-life balance, try ___ specific times for work and personal activities.",setting,set,to set,sets,1,"ワークライフバランスの実用表現。仕事と生活のバランスを保つため、仕事と個人活動の特定の時間を設定することを試してみてください。"
749,"When cooking at home, always ___ that meat is cooked to the proper temperature for safety.",ensure,ensuring,to ensure,ensures,1,"料理の実用表現。家庭で料理するときは、安全のため肉が適切な温度まで調理されていることを必ず確認してください。"
750,"For better relationships, practice ___ actively to others and showing genuine interest in their thoughts.",listening,listen,to listen,listens,1,"人間関係の実用表現。より良い人間関係のため、他者に積極的に耳を傾け、その考えに真の関心を示すことを実践してください。"
751,"Looking back on his journey, Sakamoto realized he ___ the most important lesson of all: true happiness comes from helping others.",had learned,has learned,was learning,will learn,1,"総復習（過去完了）。坂本は人生を振り返り、最も重要な教訓を学んだことに気づきました：真の幸福は他人を助けることから来る。"
